### EOSS Scenario Dump ###


--- LPP ---
<function LPP_data at 0x000001FD411C0FE0>

--- DF ---
     ID  acquired  reachable                          request location  day        area  stereo  strips  duration  priority  priority mod  customer type mod  price  waiting time
20  021         0          0    [15.34798205713934, 44.26709886600003]    0  926.694727       0       2  5.403039         2             2                  2   1128             7
21  022         0          0    [34.90085176593495, 135.0445482737043]    0  429.694194       0       1  3.301986         3             3                  3   1121            14
22  023         0          0    [34.61739668939556, 116.3428955214736]    0  938.930804       0       2  2.736709         1             1                  1   1388            11
23  024         0          0    [30.6291229233971, -97.41965608906601]    0  991.409141       0       2  5.109361         2             2                  2    853             8
24  025         0          0    [46.60438717065352, 23.38616091597898]    0  527.133166       0       1  5.286114         2             2                  2    770            13
25  026         0          0    [31.03278181291179, 104.4029732396626]    0  288.755966       0       1  4.006487         3             3                  3    891             6
26  027         0          0    [-33.0491248747741, -71.6499149451426]    0  790.986032       1       1  5.782496         3             3                  3    931             7
27  028         0          0     [31.20424691988397, 33.8172340915129]    0  160.151425       0       1  2.412108         3             3                  3   1238             7
28  029         0          0     [52.00787857002857, 7.13592130906005]    0  252.794813       0       1  2.870838         4             4                  3    971            14
29  030         0          0    [35.27406137128568, 126.6168339676702]    0  785.095030       0       2  5.277643         1             1                  1   1255            10
30  031         0          0    [47.72787662898534, 67.74428874484721]    0  434.212279       0       1  2.370894         4             4                  3    807            11
31  032         0          0     [37.4314040693389, 126.8372393730017]    0  202.336399       0       1  7.285453         3             3                  3   1007            14
32  033         0          0    [-5.99238331348251, 29.36275774448988]    0  651.474619       0       1  2.852878         3             3                  3    554             5
33  034         0          0    [-26.0076833401347, 32.96959499334744]    0  733.029100       0       2  6.043519         3             3                  3    536            13
34  035         0          0    [15.41158803410696, 45.24775055026569]    0  125.946168       0       1  4.347221         4             4                  3   1399            12
35  036         0          0    [39.78192937595332, 116.5988584284825]    0  277.703280       0       1  4.398726         2             2                  2    554            13
36  037         0          0    [34.76221704961231, 52.29005615423787]    0  222.055479       0       1  6.589337         3             3                  3   1023            14
37  038         0          0   [13.66832618040448, -6.126414619072909]    0  380.474774       0       1  4.996773         4             4                  3   1414             6
38  039         0          0    [15.40213287302873, 45.36219283882739]    0  763.681451       0       2  6.353933         3             3                  3    962             5
39  040         0          0   [9.327999614295983, -79.79432138199263]    0  713.994394       1       1  5.031147         4             4                  3   1196             2
40  041         0          0    [40.16710283184663, 117.3064200020068]    0  662.861386       0       1  5.557432         1             1                  1    977            11
41  042         0          0    [15.34038522057796, 44.14917350214408]    0    7.279260       0       1  6.564288         1             1                  1   1248             7
42  043         0          0    [45.50549700332417, 26.95675704549197]    0  143.001170       0       1  5.643852         4             4                  3   1304             6
43  044         0          0    [34.73662381879044, 128.8013889108951]    0  224.074252       0       1  5.693691         3             3                  3   1215             5
44  045         0          0      [15.3427596288542, 44.2346711001931]    0  272.683890       0       1  6.735318         4             4                  3    710             7
45  046         0          0    [40.80923050790108, 126.4438689717955]    0  147.280115       0       1  7.694521         1             1                  1    725            13
46  047         0          0  [-9.495983297619347, -35.69704458204912]    0  410.905236       0       1  4.260297         4             4                  3    506             6
47  048         0          0    [25.24491213164131, 82.96245616846963]    0   76.105404       0       1  5.462703         1             1                  1   1231             4
48  049         0          0    [15.51160321751433, 45.24017741284241]    0  750.272168       0       2  2.517639         1             1                  1   1322             3
49  050         0          0    [10.22974759910089, 106.2799577317402]    0  787.933067       0       2  4.152823         2             2                  2   1039            14

--- M ---
<folium.folium.Map object at 0x000001FD39B5D550>

--- PF_DF ---
    index   ID  stereo  satellite                        satellite location                        request location                time  ...  priority  priority mod  customer type mod  price  waiting time  uncertainty  cloud cover real
0       0  032       0          0    [37.94898182107607, 131.1023938728899]   [37.4314040693389, 126.8372393730017] 2024-06-14 01:45:10  ...         3             3                  3   1007            14     0.958681          0.000000
1       1  032       0          0  [37.349810306325864, 130.92356586004064]   [37.4314040693389, 126.8372393730017] 2024-06-14 01:45:20  ...         3             3                  3   1007            14     0.959028          0.000000
2       2  044       0          0  [37.349810306325864, 130.92356586004064]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:45:20  ...         3             3                  3   1215             5     0.959028          0.000000
3       3  030       0          0   [36.75049194250851, 130.74690984734744]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:45:30  ...         1             1                  1   1255            10     0.959375          2.959375
4       4  032       0          0   [36.75049194250851, 130.74690984734744]   [37.4314040693389, 126.8372393730017] 2024-06-14 01:45:30  ...         3             3                  3   1007            14     0.959375          0.000000
5       5  044       0          0   [36.75049194250851, 130.74690984734744]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:45:30  ...         3             3                  3   1215             5     0.959375          0.000000
6       6  030       0          0   [36.15103014471859, 130.57234387254024]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:45:40  ...         1             1                  1   1255            10     0.959722          4.959722
7       7  032       0          0   [36.15103014471859, 130.57234387254024]   [37.4314040693389, 126.8372393730017] 2024-06-14 01:45:40  ...         3             3                  3   1007            14     0.959722          8.758333
8       8  044       0          0   [36.15103014471859, 130.57234387254024]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:45:40  ...         3             3                  3   1215             5     0.959722          8.798611
9       9  030       0          0   [35.55143515823985, 130.39979963372738]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:45:50  ...         1             1                  1   1255            10     0.960069          0.960069
10     10  032       0          0   [35.55143515823985, 130.39979963372738]   [37.4314040693389, 126.8372393730017] 2024-06-14 01:45:50  ...         3             3                  3   1007            14     0.960069          9.640625
11     11  044       0          0   [35.55143515823985, 130.39979963372738]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:45:50  ...         3             3                  3   1215             5     0.960069          0.000000
12     12  030       0          0   [34.95170698307229, 130.22920882901713]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:46:00  ...         1             1                  1   1255            10     0.960417          7.683333
13     13  044       0          0   [34.95170698307229, 130.22920882901713]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:00  ...         3             3                  3   1215             5     0.960417          0.000000
14     14  030       0          0   [34.351859279594265, 130.0604894961395]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:46:10  ...         1             1                  1   1255            10     0.960764          7.725347
15     15  044       0          0   [34.351859279594265, 130.0604894961395]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:10  ...         3             3                  3   1215             5     0.960764          2.882292
16     16  030       0          0    [33.75188521761659, 129.8935733332027]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:46:20  ...         1             1                  1   1255            10     0.961111          0.000000
17     17  044       0          0    [33.75188521761659, 129.8935733332027]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:20  ...         3             3                  3   1215             5     0.961111          0.000000
18     18  030       0          0    [33.1518018726122, 129.72840569869345]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:46:30  ...         1             1                  1   1255            10     0.961458          3.845833
19     19  044       0          0    [33.1518018726122, 129.72840569869345]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:30  ...         3             3                  3   1215             5     0.961458          1.961458
20     20  030       0          0     [32.5516058294865, 129.5649046303417]  [35.27406137128568, 126.6168339676702] 2024-06-14 01:46:40  ...         1             1                  1   1255            10     0.961806          5.847222
21     21  044       0          0     [32.5516058294865, 129.5649046303417]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:40  ...         3             3                  3   1215             5     0.961806          2.885417
22     22  044       0          0  [31.951303918428657, 129.40304280739073]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:46:50  ...         3             3                  3   1215             5     0.962153          0.000000
23     23  044       0          0    [31.35089955453327, 129.2427246071922]  [34.73662381879044, 128.8013889108951] 2024-06-14 01:47:00  ...         3             3                  3   1215             5     0.962500          0.000000

[24 rows x 21 columns]

--- SATS ---
38755
40053
